accuracy,loss,val_accuracy,val_loss,learning_rate
0.9250229001045227,0.21520613133907318,0.9403347373008728,0.1764814704656601,0.0010000000474974513
0.9818058013916016,0.07669825851917267,0.9756485223770142,0.0885433554649353,0.0010000000474974513
0.9853649139404297,0.05753098800778389,0.9576569199562073,0.12491222470998764,0.0010000000474974513
0.9879050254821777,0.046097446233034134,0.9684518575668335,0.10154102742671967,0.0010000000474974513
0.9895147085189819,0.03739939630031586,0.9913807511329651,0.031576260924339294,0.0010000000474974513
0.9909767508506775,0.03168981522321701,0.9896234273910522,0.034078944474458694,0.0010000000474974513
0.9920991063117981,0.025497879832983017,0.9976568818092346,0.013339151628315449,0.0010000000474974513
0.992350161075592,0.02465001307427883,0.9927196502685547,0.028131887316703796,0.0010000000474974513
0.9939746856689453,0.01963486149907112,0.9983263611793518,0.011848365887999535,0.0010000000474974513
0.9941371083259583,0.017656095325946808,0.9991631507873535,0.002989470027387142,0.0010000000474974513
0.9951118230819702,0.01636914350092411,0.9991631507873535,0.008880252949893475,0.0010000000474974513
0.995776355266571,0.013553756289184093,0.9991631507873535,0.005207149311900139,0.0010000000474974513
0.9961012601852417,0.012652006931602955,0.99757319688797,0.004629758186638355,0.0010000000474974513
0.9969282746315002,0.009603586047887802,0.9978242516517639,0.01037178747355938,0.0005000000237487257
0.9972679018974304,0.009165513329207897,0.9991631507873535,0.004311015363782644,0.0005000000237487257
0.9971202611923218,0.009286811575293541,0.9983263611793518,0.0038932159077376127,0.0005000000237487257
