accuracy,loss,pr_auc,val_accuracy,val_loss,val_pr_auc,learning_rate
0.930112898349762,0.02571740746498108,0.9836981892585754,0.9662882685661316,0.01412027608603239,0.991813600063324,0.0010000000474974513
0.9807260632514954,0.011395581066608429,0.9944857358932495,0.9843481183052063,0.009664621204137802,0.9951898455619812,0.0010000000474974513
0.9842925071716309,0.008892428129911423,0.9968118071556091,0.9867560863494873,0.007466822862625122,0.9986106157302856,0.0010000000474974513
0.9855824708938599,0.007607528939843178,0.9983586072921753,0.9872720837593079,0.006324239075183868,0.9991320371627808,0.0010000000474974513
0.9882535338401794,0.0061735655181109905,0.9990452527999878,0.9898520708084106,0.005447578150779009,0.999406635761261,0.0010000000474974513
0.9886632561683655,0.005771873984485865,0.9991280436515808,0.9910560846328735,0.0045729950070381165,0.9995557069778442,0.0010000000474974513
0.9904540777206421,0.004976380616426468,0.9993799924850464,0.9914000630378723,0.00419622752815485,0.9996243715286255,0.0010000000474974513
0.9918503165245056,0.004313527140766382,0.9995428323745728,0.9919160604476929,0.005540294107049704,0.9997677803039551,0.0010000000474974513
0.992229700088501,0.00406473595649004,0.9995700716972351,0.9948400259017944,0.0032191129866987467,0.9997959733009338,0.0010000000474974513
0.9940508604049683,0.0034246165305376053,0.9997403621673584,0.994238018989563,0.0033210692927241325,0.9997895359992981,0.0010000000474974513
0.9938384294509888,0.003394995117560029,0.999720573425293,0.9960440397262573,0.002715761074796319,0.9998553395271301,0.0010000000474974513
0.9952953457832336,0.0027896405663341284,0.9998183250427246,0.9884760975837708,0.004028879106044769,0.999812662601471,0.0005000000237487257
0.9956291913986206,0.0026026356499642134,0.9998435974121094,0.995356023311615,0.0024601940531283617,0.9998751282691956,0.0005000000237487257
0.9959023594856262,0.002407552907243371,0.9998917579650879,0.9969040155410767,0.002214888809248805,0.9999078512191772,0.0005000000237487257
0.995674729347229,0.002396862953901291,0.9998742341995239,0.9933780431747437,0.002826435724273324,0.9998739361763,0.0005000000237487257
0.9962514638900757,0.0023021537344902754,0.9998788833618164,0.9957000613212585,0.002221510047093034,0.9999149441719055,0.0005000000237487257
0.9968888759613037,0.0020124271977692842,0.9999178647994995,0.9975060224533081,0.0018463163869455457,0.9999234676361084,0.0002500000118743628
0.9969040155410767,0.0019525418756529689,0.9999311566352844,0.9978500008583069,0.001815702999010682,0.9999300241470337,0.0002500000118743628
0.9970557689666748,0.0018595565343275666,0.99991774559021,0.9976780414581299,0.0017469082958996296,0.9999325275421143,0.0002500000118743628
0.9975717663764954,0.0016892194980755448,0.9999439120292664,0.9975060224533081,0.001747039845213294,0.9999312162399292,0.0001250000059371814
0.9975717663764954,0.0016936952015385032,0.9999440908432007,0.9981080293655396,0.00173456990160048,0.9999496340751648,0.0001250000059371814
0.9976021647453308,0.0016458851750940084,0.9999490976333618,0.9975060224533081,0.0017286757938563824,0.9999464154243469,0.0001250000059371814
0.9977235198020935,0.001584868412464857,0.9999523162841797,0.9973340034484863,0.0016617305809631944,0.9999392032623291,6.25000029685907e-05
0.9977994561195374,0.0015793830389156938,0.9999558925628662,0.9978500008583069,0.001637767651118338,0.999943196773529,6.25000029685907e-05
0.9979208111763,0.0015665993560105562,0.9999502897262573,0.997592031955719,0.0015780201647430658,0.9999456405639648,6.25000029685907e-05
0.9978904724121094,0.0015097992727532983,0.999962568283081,0.997592031955719,0.001551829744130373,0.9999467730522156,3.125000148429535e-05
0.9979056715965271,0.00149765913374722,0.9999595284461975,0.9981080293655396,0.0015581832267343998,0.999948263168335,3.125000148429535e-05
